k,arm,n,ari_mean,ari_p10,ari_min,ari_max,aligned_agreement_mean,train_n_min,train_n_max,test_n_min,test_n_max
4,buffered,10,0.7003601642488316,0.5087757654865533,0.37663150041927,0.9266769145921976,0.8621872478980712,5848,8290,1176,2792
4,unbuffered,10,0.7661094493238683,0.6428254752735314,0.4571196304879016,0.8859381545794197,0.8969747243860589,7801,9417,1176,2792
7,buffered,10,0.6530781639009741,0.5415378335908572,0.5122556575774686,0.8133151358669154,0.7983194996022249,5848,8290,1176,2792
7,unbuffered,10,0.665709121576647,0.5928662086953853,0.5457550490928705,0.7771745186548833,0.808466259195263,7801,9417,1176,2792
8,buffered,10,0.5991360186730785,0.4570195768810571,0.447861321744873,0.7283138483079299,0.7492100492014169,5848,8290,1176,2792
8,unbuffered,10,0.7034571131567899,0.590513998590572,0.4520909660263811,0.798734897746035,0.8238605509935155,7801,9417,1176,2792
