sample_id,selection_group,selection_role,selection_tier,distance_stratum,cluster,grid_id,center_lon,center_lat,center_x_3003,center_y_3003,distance_percentile,distance_to_medoid_k7,relative_assignment_margin,second_nearest_cluster,cleanup_cluster,cleanup_changed,within_cluster_weight,citywide_nonmedoid_weight,bldheight,blddensity,vertohor,treecover,grasscover,charlength,assigned_class_medoid_rmse_c_precision1,assigned_four_rmse_c_precision1,oracle_four_rmse_c_precision1,assigned_class_medoid_rmse_c,assigned_four_rmse_c,oracle_four_rmse_c,four_minus_class_medoid_rmse_c,assignment_regret_vs_oracle_c
C0_distance_stratified_random_11167,probability_sample,distance_stratified_random,preferred,D95_100,0,11167,7.635026227807192,45.109584644342206,1392650.0,4996050.0,0.9715504978662872,0.9145566424170224,0.113492987534224,3,3,True,0.0168326220957799,0.0022356571572517,12.303151996787095,0.0729754238581356,0.0716067232205982,0.0,0.254625491363769,500.0,0.0391985928365457,0.0372269357973289,0.0372269357973289,0.020549664197503,0.0171872244685262,0.0171872244685262,-0.0033624397289767,0.0
C0_distance_stratified_random_11610,probability_sample,distance_stratified_random,preferred,D00_25,0,11610,7.683214950833288,45.11465144812712,1396450.0,4996550.0,0.096728307254623,0.2563519123678072,0.7847894844778895,1,0,False,0.0832147937411095,0.011052333270357,5.884981867244504,0.0274416373525027,0.043838690486568,0.0,0.1755313618912283,500.0,0.0430434632206494,0.0610131357965317,0.0610131357965317,0.0243957501538849,0.0426229727754784,0.0426229727754784,0.0182272226215935,0.0
C0_distance_stratified_random_12341,probability_sample,distance_stratified_random,preferred,D25_50,0,12341,7.665190625610581,45.12434385343058,1395050.0,4997650.0,0.2773826458036984,0.3878588545571687,0.7398203792458302,3,0,False,0.0834518729255571,0.0110838213993324,4.5106808830260645,0.0114622717939933,0.0203507143220733,0.0,0.1229480439750066,500.0,0.0722438792022672,0.0894682413487918,0.0894682413487918,0.0621861709949543,0.0794748711039301,0.0794748711039301,0.0172887001089757,0.0
C0_distance_stratified_random_12424,probability_sample,distance_stratified_random,preferred,D50_75,0,12424,7.695678537918608,45.125596418297334,1397450.0,4997750.0,0.5056899004267426,0.5165922626907785,0.5919583992601891,1,0,False,0.0832147937411095,0.011052333270357,3.709749934051337,0.0164682891013955,0.0272917291535817,0.0,0.1786814208897748,500.0,0.0643460251989515,0.0799471857629493,0.0799471857629493,0.0521051032128515,0.0688670274206272,0.0688670274206272,0.0167619242077756,0.0
C0_distance_stratified_random_12486,probability_sample,distance_stratified_random,preferred,D95_100,0,12486,7.703285455100344,45.12658323334877,1398050.0,4997850.0,0.97226173541963,0.9156636915935128,0.1360144512559795,1,0,False,0.0168326220957799,0.0022356571572517,6.76002870209303,0.0487577067699082,0.1094706690528781,0.0374890430452815,0.2513506208095801,500.0,0.0484932796737443,0.0331042355440947,0.0331042355440947,0.0264012115745232,0.0128478761814717,0.0128478761814717,-0.0135533353930514,0.0
C0_distance_stratified_random_12811,probability_sample,distance_stratified_random,preferred,D00_25,0,12811,7.68152929664189,45.13263512864576,1396350.0,4998550.0,0.131578947368421,0.2859899261763833,0.7571564323295397,3,0,False,0.0832147937411095,0.011052333270357,7.264166023421631,0.0420477383428866,0.0784936402511484,0.0001525895596463,0.0818342144491421,500.0,0.0306698429961157,0.0415454858830688,0.0415454858830688,0.011598811149912,0.0215791074123173,0.0215791074123173,0.0099802962624052,0.0
C0_distance_stratified_random_1492,probability_sample,distance_stratified_random,preferred,D75_95,0,1492,7.704193413659611,45.030276039883425,1397950.0,4987150.0,0.8726884779516358,0.7409928717901557,0.0373159854122989,1,0,False,0.0666192508297771,0.0088481642420807,4.9960950103955675,0.0156611780756191,0.0310119953015604,0.0,0.2755062176269732,500.0,0.060628368663176,0.0724805122604293,0.0724805122604293,0.0463361908221713,0.0614609855089066,0.0614609855089066,0.0151247946867352,0.0
C0_distance_stratified_random_1754,probability_sample,distance_stratified_random,preferred,D25_50,0,1754,7.659712164622261,45.03246297649031,1394450.0,4987450.0,0.4907539118065434,0.5088651276836342,0.5164609882992965,3,0,False,0.0834518729255571,0.0110838213993324,7.908405146663617,0.1061564859218727,0.0645383192864259,0.0001284886273377,0.0585152757001056,500.0,0.0451405719157025,0.0482927715172976,0.0482927715172976,0.0230853612514422,0.0297002375342191,0.0297002375342191,0.0066148762827769,0.0
C0_distance_stratified_random_3271,probability_sample,distance_stratified_random,preferred,D75_95,0,3271,7.68861462644259,45.04540102604248,1396750.0,4988850.0,0.9011379800853484,0.7795195477681118,0.2015220351882365,1,0,False,0.0666192508297771,0.0088481642420807,8.463843816456405,0.0361629700037595,0.1035821619074574,0.0283935524821017,0.2469961791754713,500.0,0.0480558085000513,0.0319281442099923,0.0319281442099923,0.0255995059170357,0.0123523009151956,0.0123523009151956,-0.01324720500184,0.0
C0_distance_stratified_random_3692,probability_sample,distance_stratified_random,preferred,D25_50,0,3692,7.726618212928142,45.049431938501975,1399750.0,4989250.0,0.3065433854907539,0.4007397867598483,0.6265079181192825,1,0,False,0.0834518729255571,0.0110838213993324,5.49762644303244,0.0175846193901721,0.0358354236154461,0.0,0.203598738723907,500.0,0.052407779407887,0.067235020229085,0.067235020229085,0.035531871987564,0.052260832701969,0.052260832701969,0.016728960714405,0.0
