scenario,retained_medoid_ids,ari,aligned_agreement,c6_n,c6_best_jaccard,c6_best_recall,c6_best_precision
omit_built_frac,0,0.4955376666178885,0.6266402341168696,390,0.1029945553539019,0.5820512820512821,0.1112199902008819
omit_avg_height_m,0,0.7486734310745945,0.8685924667233078,390,0.7358490566037735,1.0,0.7358490566037735
omit_facade_to_site_ratio,0,0.5674563432217423,0.7028226187104691,390,0.1798063623789765,1.0,0.1798063623789765
omit_uwg_treecover,0,0.5097012131586353,0.6946096478806759,390,0.7651515151515151,0.7769230769230769,0.9805825242718448
omit_uwg_grasscover,0,0.500081197616067,0.609647880675918,390,0.7111597374179431,0.8333333333333334,0.8290816326530612
group_balanced,0,0.6361403402970149,0.7488907769281601,390,0.1796649335644136,0.7974358974358975,0.1882566585956416
yeo_johnson,0,0.5718584554261077,0.7044274520910035,390,0.2057347670250896,0.735897435897436,0.2221362229102167
