precision,comparator,period,variable,scope,cluster,n_supports,weighted_mean_support_rmse,weighted_pooled_hourly_rmse,weighted_median_support_rmse,weighted_p95_support_rmse,observed_maximum_support_rmse,unweighted_mean_support_rmse
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,4.0,15,0.0483968450645314,0.0506463872983586,0.0483990263685609,0.0708880395782753,0.0830497457790967,0.0508638357725167
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,5.0,15,0.0509523355988587,0.0551732411687197,0.0551668287599875,0.074851451061602,0.1179931117871875,0.0570844235786973
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,6.0,15,0.1589259289960594,0.1873554294557474,0.1446772506281311,0.4448359196757721,0.4448359196757721,0.1541548856882316
precision1,assigned_class_medoid,nighttime,relative_humidity,citywide_nonmedoid,,105,0.1800398341856522,0.2401516524981831,0.1443138386235528,0.4066120181860507,1.752467275731965,0.2464182309325114
precision1,assigned_class_medoid,nighttime,relative_humidity,class,0.0,15,0.1913030737098375,0.217891182913361,0.1433933186575179,0.3703725139461055,0.3703725139461055,0.1913369180012876
precision1,assigned_class_medoid,nighttime,relative_humidity,class,1.0,15,0.1938690461968548,0.2279151035256235,0.1791851163910469,0.4012252922733278,0.5074063334395935,0.2355564218868949
precision1,assigned_class_medoid,nighttime,relative_humidity,class,2.0,15,0.2413724600091052,0.314112429350775,0.1782525528645796,0.6783760490516603,0.6783760490516603,0.258154895991508
precision1,assigned_class_medoid,nighttime,relative_humidity,class,3.0,15,0.1402695572219022,0.1677359432010617,0.1157761183882112,0.3524053031906515,0.3524053031906515,0.1463879669409466
precision1,assigned_class_medoid,nighttime,relative_humidity,class,4.0,15,0.1217856920011125,0.1329696356285549,0.1139574542092925,0.2208534711245503,0.2859295503486079,0.1334435450158207
precision1,assigned_class_medoid,nighttime,relative_humidity,class,5.0,15,0.140003334686168,0.1610498447976134,0.1443138386235528,0.2491492373372903,0.4711711823796346,0.1683219608846329
precision1,assigned_class_medoid,nighttime,relative_humidity,class,6.0,15,0.6099702204616212,0.7279936542552444,0.5624940385275168,1.752467275731965,1.752467275731965,0.5917259078064893
precision1,assigned_class_medoid,summer,dry_bulb_temperature,citywide_nonmedoid,,105,0.0495637215980858,0.0572616652051039,0.0476448993059329,0.0804133220799993,0.3184877175489005,0.0617441350877798
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,0.0,15,0.0478016148278881,0.0498428229434771,0.048214948290086,0.0693451019856406,0.0693451019856406,0.0480591824901833
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,1.0,15,0.0474915548080015,0.0506870568584852,0.0486381007562285,0.0713836705087413,0.0983354172234501,0.0537265592241291
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,2.0,15,0.053021276220611,0.0601925048451307,0.0476209991793697,0.1191767449595856,0.1191767449595856,0.05597908905055
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,3.0,15,0.043604349125257,0.0463858208462994,0.04246502900652,0.0803708390328782,0.0803708390328782,0.0456084213513291
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,4.0,15,0.0442149498105262,0.0456300544397741,0.044787496628864,0.0606206514974735,0.0804133220799993,0.0470493046849947
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,5.0,15,0.0454074010128764,0.0496352749025406,0.0509025999457652,0.0741067019822669,0.1121693684261204,0.0510790668872844
precision1,assigned_class_medoid,summer,dry_bulb_temperature,class,6.0,15,0.1348281634686084,0.1556344879633087,0.1306858048881798,0.3184877175489005,0.3184877175489005,0.1307073219259884
precision1,assigned_class_medoid,summer,relative_humidity,citywide_nonmedoid,,105,0.1293893109669803,0.171211267677156,0.1094571802895538,0.2715611280465929,1.1513208143199438,0.1789273541295307
precision1,assigned_class_medoid,summer,relative_humidity,class,0.0,15,0.1290796245460801,0.1435903131679556,0.1029505513785327,0.2327324425163704,0.2327324425163704,0.1288819584884889
precision1,assigned_class_medoid,summer,relative_humidity,class,1.0,15,0.1289540889725885,0.1480582714298606,0.1188610950948217,0.2448095055120838,0.3413916659513769,0.1562044125715009
precision1,assigned_class_medoid,summer,relative_humidity,class,2.0,15,0.1547100753770511,0.1952320365174762,0.1216256761550872,0.4300792064975549,0.4300792064975549,0.1656245947224717
precision1,assigned_class_medoid,summer,relative_humidity,class,3.0,15,0.1051896451682347,0.1218215563422212,0.0828125805495021,0.2715611280465929,0.2715611280465929,0.1098767051686881
