sample_id,selection_group,selection_role,selection_tier,cluster,cluster_medoid_grid_id,four_file_representative_cluster,grid_id,grid_row,grid_col,center_lon,center_lat,center_x_3003,center_y_3003,macroblock_id,distance_stratum,distance_percentile,distance_to_medoid_k7,second_nearest_cluster,second_nearest_distance,assignment_margin,relative_assignment_margin,cleanup_cluster,cleanup_changed,spatial_component_id,spatial_component_size,same_label_neighbor_share,stratum_population,stratum_sample_size,inclusion_probability,within_cluster_weight,citywide_nonmedoid_weight,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover,charlength_m,road_frac,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac
C0_distance_stratified_random_3271,probability_sample,distance_stratified_random,preferred,0,12618,1,3271,42,87,7.68861462644259,45.04540102604248,1396750.0,4988850.0,4_8,D75_95,0.9011379800853484,0.7795195477681118,1,0.976256806224928,0.1967372584568153,0.2015220351882365,0,False,C0_component_0012,5,0.5,281.0,3.0,0.0106761565836298,0.0666192508297771,0.0088481642420807,0.0361629700037595,8.463843816456405,0.1035821619074574,0.0283935524821017,0.2469961791754713,500,0.1303561836758961,27.5389731657573,2.839355248210173,156,6.24,21.23076923076923,117,0.8468872210440701
C0_distance_stratified_random_7630,probability_sample,distance_stratified_random,preferred,0,12618,1,7630,80,102,7.706885249015084,45.079815753250855,1398250.0,4992650.0,8_10,D75_95,0.7994310099573257,0.6818863535598555,3,1.1192947213379936,0.4374083677781377,0.3907892706357662,0,False,C0_component_0022,42,1.0,281.0,3.0,0.0106761565836298,0.0666192508297771,0.0088481642420807,0.0788409632451693,7.25654859227979,0.1286472989892137,0.0160897241489588,0.0216150889940438,500,0.3322831583818627,3.7704813143002633,1.6089724148958835,63,2.52,18.20634920634921,114,0.9892725748225788
C0_distance_stratified_random_9466,probability_sample,distance_stratified_random,preferred,0,12618,1,9466,97,115,7.723057043158445,45.09530054852052,1399550.0,4994350.0,9_11,D95_100,0.9793741109530584,0.9346117525561234,1,1.0602824010048058,0.1256706484486813,0.1185256383861376,0,False,C0_component_0025,62,0.75,71.0,3.0,0.0422535211267605,0.0168326220957799,0.0022356571572517,0.0146425681531985,5.303288377565389,0.0228400094174051,0.0352319718242298,0.2578157143772148,500,0.0479587416606574,29.30476862014447,3.5231971824229857,283,11.32,12.980891719745223,33,0.9805431519257796
C0_distance_stratified_random_11167,probability_sample,distance_stratified_random,preferred,0,12618,1,11167,114,46,7.635026227807192,45.109584644342206,1392650.0,4996050.0,11_4,D95_100,0.9715504978662872,0.9145566424170224,3,1.0316406182430842,0.1170839758260615,0.113492987534224,3,True,C0_component_0033,2,0.3333333333333333,71.0,3.0,0.0422535211267605,0.0168326220957799,0.0022356571572517,0.0729754238581356,12.303151996787095,0.0716067232205982,0.0,0.254625491363769,500,0.2716181065170424,25.462549136376904,0.0,0,0.0,,22,0.9910895112138514
C0_distance_stratified_random_12486,probability_sample,distance_stratified_random,preferred,0,12618,1,12486,132,100,7.703285455100344,45.12658323334877,1398050.0,4997850.0,13_10,D95_100,0.97226173541963,0.9156636915935128,1,1.0598136657778807,0.1441499741843666,0.1360144512559795,0,False,C0_component_0036,612,0.5,71.0,3.0,0.0422535211267605,0.0168326220957799,0.0022356571572517,0.0487577067699082,6.76002870209303,0.1094706690528781,0.0374890430452815,0.2513506208095801,500,0.0953358967491979,28.883966385486172,3.7489043045281543,193,7.72,16.35185185185185,134,0.9355893946228964
C0_risk_boundary_10420,purposive_stress,risk_boundary,not_applicable,0,12618,1,10420,106,115,7.722876420474993,45.10339997182674,1399550.0,4995250.0,10_11,D75_95,0.9473684210526316,0.8484865814695391,3,0.8486274095761666,0.0001408281066272,0.0001659481004716,0,False,C0_component_0025,62,0.5,,,,0.0,0.0,0.2110175022185844,6.477205875068935,0.2834848096151942,0.0,0.167753232932701,500,0.1344767186004364,16.77532329327011,0.0,0,0.0,,406,0.9298950615342596
C0_risk_cleanup_104,purposive_stress,risk_cleanup,not_applicable,0,12618,1,104,5,36,7.62467264523403,45.01134225087485,1391650.0,4985150.0,0_3,D95_100,0.9886201991465148,0.946910823089928,2,0.9583125090248704,0.011401685934941,0.0118976699433286,3,True,C0_component_0001,1,0.0,,,,0.0,0.0,0.1057075268461575,8.087228335034649,0.1705092786081465,0.0355469990468574,0.2488183982538878,500,0.1456952249657202,28.43653973007453,3.554699904685741,146,5.84,14.49655172413793,143,0.9835111269764296
C0_risk_morphology_extreme_7627,purposive_stress,risk_morphology_extreme,not_applicable,0,12618,1,7627,80,99,7.703074634568938,45.07977252546067,1397950.0,4992650.0,8_9,D95_100,1.0,1.343011153786396,2,1.3942077330909126,0.0511965793045143,0.0367209118766062,0,False,C0_component_0022,42,0.5,,,,0.0,0.0,0.0415973062024375,7.114631395671056,0.0645588145036118,0.0610480008960186,0.014361042480407,500,0.3213223867410931,7.540904337642572,6.104800089601866,230,9.2,19.34070796460177,27,0.9821391305467608
C1_distance_stratified_random_2786,probability_sample,distance_stratified_random,preferred,1,3788,1,2786,37,120,7.730606065573296,45.041374834749014,1400050.0,4988350.0,3_12,D00_25,0.0901502504173622,0.2168503458949394,0,1.2636032182749346,1.0467528723799953,0.8283873111759066,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0272299046400749,6.253552414915782,0.0609705684099886,0.0,0.3940392465531804,500,0.0674734476518763,39.40392465531804,0.0,0,0.0,,94,0.90173603060356
C1_distance_stratified_random_4491,probability_sample,distance_stratified_random,preferred,1,3788,1,4491,54,107,7.713761387536048,45.05648914161476,1398750.0,4990050.0,5_10,D00_25,0.0272676683361157,0.1523008187051875,0,1.498524370759474,1.3462235520542865,0.8983661382644053,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.044890252351507,7.187106896742487,0.1156793282073984,0.0034554183561514,0.4423504671504474,500,0.0916767381275467,44.58058855065989,0.3455418356151477,25,1.0,13.88,158,0.9096867075668904
