grid_id,fit_eligible,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover
1,False,0.0250117432014218,5.417138541665814,0.0321520266685009,0.004642470288909867,0.10282381544261944
2,False,0.0268420331735125,5.286413740558645,0.0331861171141344,0.006723634102880389,0.06995458098401582
3,False,0.0264538534188583,5.325764298426103,0.0304546280998896,0.006916618140260439,0.04217574486233156
4,False,0.02665770647378,5.915257559681615,0.03517563177842,0.011943156809365293,0.2198823670021669
5,False,0.0258181731014132,5.444714694120679,0.0336261371568281,0.01688364424009107,0.20294691878614235
6,False,0.0268420331735125,5.286413740558645,0.0331861171141344,0.021017207739450882,0.16697379188895234
7,False,0.0264538534188583,5.325764298426104,0.0304546280998896,0.02177396861681155,0.14026362667578365
8,False,0.0251512545174288,5.429124678364414,0.0247167525504956,0.017835258506897565,0.18326870867142733
9,False,0.011266596169498,9.650856319043962,0.0184430204360393,0.018363374487051217,0.19341136780742238
10,False,0.0156853639942632,9.529711538783172,0.024840396095247,0.021153678889777407,0.1932352138677037
11,False,0.1095285252029094,7.469783181649994,0.1987894927902103,0.01981459562715398,0.08105119381833792
12,False,0.1017546382038465,7.08813141285873,0.1839784886779873,0.015662058231862067,0.06030728939419874
13,False,0.0962301883553891,7.01936875320689,0.1732237527215676,0.006964758159969999,0.0360254665512518
14,False,0.0176358134919422,3.543309264892201,0.0295041329201555,0.013641823097627289,0.2408775883644706
15,False,0.0163894928507059,3.536083170429526,0.0276317451523592,0.013641823097627289,0.305397498333294
16,False,0.0139282712383365,3.6133916110953,0.0254051381456131,0.006792506231059972,0.3743155710201011
17,False,0.0047789141372102,3.16180363094523,0.0097824423333212,0.0,0.3686596880448943
18,False,0.0014618484637464,2.5501342950226817,0.003583366282754,0.0,0.2930355812127698
19,False,0.0130340435660564,7.3052686273504515,0.042014038742122,0.008697488195720518,0.18203490130988279
20,False,0.012039208669045,7.292572119497471,0.0316986967171473,0.011037081483706773,0.2763442799192313
21,False,0.0087788820258676,7.077234294919629,0.0260733407528929,0.01572546072219056,0.38701385730518356
22,False,0.0280273762904382,5.996634297123911,0.0370243674640594,0.016362800244519884,0.38356489333857624
23,False,0.0258181731014132,5.444714694120679,0.0336261371568281,0.019216954236150316,0.3812773971499562
24,False,0.0268420331735125,5.286413740558643,0.0331861171141344,0.021583521043588152,0.35298916208055436
25,False,0.0264538534188583,5.325764298426104,0.0304546280998896,0.021773968616811554,0.3286181271864919
26,False,0.0251512545174288,5.429124678364412,0.0247167525504956,0.017835258506897572,0.37164273516013246
27,False,0.0145305947482862,12.38369356129453,0.0331800393784403,0.022804316460306676,0.35398428448328184
28,False,0.0294482586480537,9.68222999644018,0.0495532612752902,0.027501976209786096,0.3239704804945864
29,False,0.0684514777259766,8.60367878389222,0.120115239757823,0.02326557191671586,0.26480064118714397
30,False,0.1239808211303864,7.6418859816418205,0.1946377196573455,0.02316090223384161,0.19542442749835737
31,False,0.1737230668897365,7.593903118399556,0.3044552120329728,0.026162892947162668,0.10260726127098613
