grid_id,k,cluster,descriptor,medoid_grid_id,cluster_size,cluster_share,center_lon,center_lat,mean_distance,p95_distance,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover
619,4,2,"moderate-density, taller, mixed-green",619,2059,0.1943736429717738,7.640973531056592,45.01963903280499,0.9058467142939152,1.6511915664576693,0.1826681722262474,14.379538042724317,0.5728759801467735,0.0811051927297961,0.1337715989300856
5434,4,3,"dense, taller, low-green",5434,3905,0.36863966770508827,7.633579662873288,45.06365905661185,0.79029627613817,1.5686454458319985,0.3337523509856044,15.517170189466349,0.785742813065771,0.0372732338267585,0.049066679696805
6880,4,0,"open, low-rise, green",6880,2294,0.2165581044085717,7.734949216386555,45.07472921170439,0.695965149549044,1.6571475614824724,0.0445279393231086,7.310760143120669,0.1295176844154944,0.0015762504426538,0.3797442309542889
10659,4,1,"open, low-rise, mixed-green",10659,2335,0.2204285849145662,7.621155542957283,45.10491715574685,0.7636821780657821,1.257296354285961,0.1072587791200091,7.768797518792851,0.1328812682410375,0.0084516179368805,0.1109176828277938
1524,7,6,"dense, mid-rise, low-green",1524,390,0.0368167657887284,7.624219933591358,45.03024041246944,0.801276860946635,1.2059151978789302,0.5768675994040376,13.26843770882462,0.2219493558098879,0.0032729935404847,0.0135520981059167
3788,7,1,"open, low-rise, green",3788,1798,0.16973473048239404,7.720250430725703,45.05026089898867,0.578253289580606,1.1946311273794783,0.0467947718485638,7.34797626059981,0.1111975776323203,0.0026843500948259,0.4119920526354193
4849,7,5,"dense, taller, low-green",4849,2562,0.24185783064287736,7.643844604419444,45.05928063164792,0.6395279287684393,0.9756295506778894,0.320637432670491,15.70688467131292,0.8596319677154934,0.0312928110846495,0.0541311449334882
5210,7,4,"moderate-density, taller, mixed-green",5210,1498,0.1414141414141414,7.65393901574927,45.06210060246688,0.6770862146070107,1.1214661439209037,0.2295949458396059,17.269830644872027,0.6989280318814863,0.0761408497486524,0.1040615282011552
10026,7,2,"open, mid-rise, green",10026,976,0.09213631643538185,7.635262207439502,45.09968570890099,0.9535896310665936,1.8959567839515632,0.1278496954635259,11.554216971677793,0.2300310930024238,0.076474911873334,0.2435593171343505
10925,7,3,"moderate-density, mid-rise, mixed-green",10925,1962,0.18521665250637212,7.694817860508369,45.10758342425009,0.7064483334861251,1.0503663465641848,0.2053686071111998,11.875733721805371,0.3969552310421045,0.0181556976920831,0.1438603903898772
12618,7,0,"open, low-rise, mixed-green",12618,1407,0.1328235627301048,7.6854261260600545,45.12907944500965,0.514763461917853,0.8518048407449167,0.0334568082004536,7.160820955817056,0.0660979064184736,0.0017115995915103,0.1388512370580127
456,8,4,"moderate-density, mid-rise, mixed-green",456,1906,0.179930142546965,7.609296404000113,45.017457178428685,0.70826458926873,1.113800271104017,0.1887648438782546,11.99386461032499,0.4784824818511978,0.0217915656788133,0.1747691568667303
3789,8,2,"open, low-rise, green",3789,1850,0.17464363258755783,7.721519989777207,45.05027512411467,0.5477049227653348,1.0802734466688209,0.0463949413913543,7.1341820209428,0.1043045813052083,0.0026843500948259,0.3791024900744407
6407,8,5,"moderate-density, taller, mixed-green",6407,1691,0.15963372038138393,7.629598152220013,45.07081265242043,0.6037823043667132,1.0210747085381913,0.2664524764184738,16.418452863633025,0.7426861010086375,0.0634356083567301,0.0764327060089149
8496,8,1,"open, low-rise, green",8496,353,0.03332389313697725,7.644476000636939,45.08629306435651,0.9443550322685449,1.573757863326482,0.0341039768796913,9.105551486264812,0.1009231129902504,0.0929995082719773,0.4212502468906355
8641,8,6,"dense, taller, low-green",8641,1983,0.18719909374114982,7.693998629929928,45.08777051966174,0.6040890068208675,1.0007272080426093,0.3718859377662107,13.973201216411296,0.8849194250801588,0.0295596513446755,0.0354538510844086
10578,8,3,"moderate-density, mid-rise, mixed-green",10578,998,0.09421315963372039,7.651674268514133,45.104381531729594,0.790511461548051,1.4187425903793154,0.1697635369529067,13.455853073581704,0.4085516337884875,0.0833545591040384,0.1156035844967122
10841,8,7,"dense, mid-rise, low-green",10841,475,0.04484093269139998,7.720254487214014,45.106971247818024,0.8067767607100405,1.3862107642863115,0.5247291580873098,10.968259495172925,0.1317272161798084,0.0032054670973122,0.0891583714319723
11552,8,0,"open, low-rise, mixed-green",11552,1337,0.12621542528084584,7.692132306829418,45.11385379995213,0.4989669617289869,0.8787426877279548,0.0337870580850917,6.075455994778057,0.0567369886392974,0.0,0.1384923258598334
