grid_id,grid_row,grid_col,center_x_3003,center_y_3003,center_lon,center_lat,fit_eligible,edge_support,qa_score,qa_reasons,exclusion_reason,assignment_status,building_fraction,avg_height_m,facade_to_site_ratio,uwg_tree_cover_fraction,uwg_grass_cover_fraction,road_fraction,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac,cluster_k4_provisional,cluster_k4_label,distance_to_medoid_k4,distance_ratio_p95_k4,outlier_gt_cluster_p99_k4,cluster_k7_provisional,cluster_k7_label,distance_to_medoid_k7,distance_ratio_p95_k7,outlier_gt_cluster_p99_k7,cluster_k8_provisional,cluster_k8_label,distance_to_medoid_k8,distance_ratio_p95_k8,outlier_gt_cluster_p99_k8,epw_category,epw_category_name,representative_k7_cluster,representative_grid_id,epw_filename,release_version,archived_building_fraction,archived_avg_height_m,archived_facade_to_site_ratio,archived_uwg_tree_cover_fraction,archived_uwg_grass_cover_fraction,canopy_area_delta_m2,canopy_corrected_gt_2p5_m2,archived_k4,archived_k7,archived_k8,c6_out_of_domain,epw_recommendation_available,recommendation_status
11,1,58,1393850.0,4984750.0,7.652667607222059,45.00807539848706,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.1095285252029094,7.469783181649994,0.1987894927902103,0.0198145956271539,0.0810511938183379,0.128462484880727,10.08657894454919,1.981459562715398,180,7.2,12.565217391304348,254,0.9485770401982508,1.0,"open, low-rise, mixed-green",0.29851993990555314,0.23743005289718466,False,0.0,"open, low-rise, mixed-green",0.608148087026682,0.7139523725820188,False,0.0,"open, low-rise, mixed-green",0.6603018594504197,0.7514166190761397,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.1095285252029094,7.469783181649994,0.1987894927902103,0.0198145956271539,0.0810511938183379,0.0,False,1.0,0.0,0.0,False,True,provisional
12,1,59,1393950.0,4984750.0,7.65393619970286,45.00809036398122,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.1017546382038465,7.08813141285873,0.1839784886779873,0.015662058231862,0.0603072893941987,0.0962058062193132,7.5969347626060895,1.5662058231862066,142,5.68,13.169230769230769,252,0.9446484106466884,1.0,"open, low-rise, mixed-green",0.31664439024939023,0.25184546918472356,False,0.0,"open, low-rise, mixed-green",0.5933291175995513,0.696555230985393,False,0.0,"open, low-rise, mixed-green",0.6294205202617241,0.716273977640862,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.1017546382038465,7.08813141285873,0.1839784886779873,0.015662058231862,0.0603072893941988,-9.094947017729282e-13,False,1.0,0.0,0.0,False,True,provisional
13,1,60,1394050.0,4984750.0,7.6552047931750495,45.00810531538784,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0962301883553891,7.01936875320689,0.1732237527215676,0.0069647581599699,0.0360254665512518,0.0760985131150074,4.299022471122186,0.6964758159969998,80,3.2,13.0,244,0.941470747954338,1.0,"open, low-rise, mixed-green",0.3928725039276234,0.312474065949823,False,0.0,"open, low-rise, mixed-green",0.6095038994587505,0.7155440663212594,False,0.0,"open, low-rise, mixed-green",0.6323394870441437,0.7195957313500926,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0962301883553891,7.01936875320689,0.1732237527215676,0.00696475815997,0.0360254665512518,-4.547473508864641e-13,False,1.0,0.0,0.0,False,True,provisional
14,2,34,1391450.0,4984850.0,7.622200104308975,45.00861191404602,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0176358134919422,3.543309264892201,0.0295041329201555,0.0136418230976272,0.2408775883644706,0.0568340703376951,25.45194114620979,1.364182309762729,62,2.48,12.693548387096774,73,0.9768774417931656,0.0,"open, low-rise, green",0.9107552161543989,0.5495921047246051,False,0.0,"open, low-rise, mixed-green",0.746788196231581,0.8767127873780373,False,0.0,"open, low-rise, mixed-green",0.6735085114824264,0.7664456511425722,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0176358134919422,3.543309264892201,0.0295041329201555,0.0136418230976272,0.2408775883644706,9.094947017729282e-13,False,0.0,0.0,0.0,False,True,provisional
15,2,35,1391550.0,4984850.0,7.623468692568922,45.00862721811012,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0163894928507059,3.536083170429526,0.0276317451523592,0.0136418230976272,0.305397498333294,0.0626797624462766,31.903932143092135,1.364182309762729,62,2.48,12.693548387096774,69,0.9885723481687286,0.0,"open, low-rise, green",0.7064801274778136,0.4263230046006292,False,1.0,"open, low-rise, green",0.7919968908234463,0.6629635480541651,False,2.0,"open, low-rise, green",0.671293976176613,0.6214111605229629,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0163894928507059,3.536083170429526,0.0276317451523592,0.0136418230976272,0.305397498333294,9.094947017729282e-13,False,0.0,1.0,2.0,False,True,provisional
16,2,36,1391650.0,4984850.0,7.624737281842696,45.00864250808695,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0139282712383365,3.6133916110953,0.0254051381456131,0.0067925062310599,0.3743155710201011,0.0378049746579441,38.11080772511611,0.6792506231059972,24,0.96,15.041666666666666,66,0.9768691062484844,0.0,"open, low-rise, green",0.5578023016104959,0.3366038816190213,False,1.0,"open, low-rise, green",0.5809024787281304,0.4862609599018132,False,2.0,"open, low-rise, green",0.5208366326582089,0.48213406916950874,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0139282712383365,3.6133916110953,0.0254051381456131,0.0067925062310599,0.3743155710201011,-2.273736754432321e-13,False,0.0,1.0,2.0,False,True,provisional
17,2,37,1391750.0,4984850.0,7.626005872129371,45.00865778397646,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0047789141372102,3.16180363094523,0.0097824423333212,0.0,0.3686596880448943,0.0312674341354773,36.86596880448943,0.0,0,0.0,,38,0.8883477879531454,0.0,"open, low-rise, green",0.6245293257422353,0.3768700749760243,False,1.0,"open, low-rise, green",0.6563900599335207,0.5494499891136826,False,2.0,"open, low-rise, green",0.5927278025553399,0.5486831175783332,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0047789141372102,3.16180363094523,0.0097824423333212,0.0,0.3686596880448943,0.0,False,0.0,1.0,2.0,False,True,provisional
18,2,38,1391850.0,4984850.0,7.627274463428007,45.0086730457786,False,True,2,municipal_boundary_support_incomplete;building_height_coverage_below_80pct,municipal_edge_support;height_coverage_below_80pct,edge_provisional,0.0014618484637464,2.5501342950226817,0.003583366282754,0.0,0.2930355812127698,0.0251502040298722,29.303558121276986,0.0,0,0.0,,21,0.612596418409535,0.0,"open, low-rise, green",0.8236742752884465,0.4970434102751799,False,1.0,"open, low-rise, green",0.9153996419523728,0.7662613345429709,False,2.0,"open, low-rise, green",0.7954085061158723,0.7363029319739639,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0014618484637464,2.5501342950226817,0.003583366282754,0.0,0.2930355812127698,0.0,False,0.0,1.0,2.0,False,True,provisional
19,2,45,1392550.0,4984850.0,7.636154630775122,45.008779483945624,False,True,2,municipal_boundary_support_incomplete;building_height_coverage_below_80pct,municipal_edge_support;height_coverage_below_80pct,edge_provisional,0.0130340435660564,7.3052686273504515,0.042014038742122,0.0086974881957205,0.1820349013098827,0.0709857350882328,19.073238950560334,0.8697488195720517,75,3.0,15.846153846153848,60,0.7590575952232003,1.0,"open, low-rise, mixed-green",0.5525423000964306,0.43946862504841055,False,0.0,"open, low-rise, mixed-green",0.2727268937955279,0.3201753274341855,False,0.0,"open, low-rise, mixed-green",0.33521473321603834,0.38147086501824257,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0130340435660564,7.3052686273504515,0.042014038742122,0.0086974881957205,0.1820349013098828,0.0,False,1.0,0.0,0.0,False,True,provisional
20,2,46,1392650.0,4984850.0,7.637423230135897,45.00879463304796,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.012039208669045,7.292572119497471,0.0316986967171473,0.0110370814837067,0.2763442799192313,0.0833827728695843,28.7381361402938,1.1037081483706772,97,3.88,15.608108108108109,42,0.8779422060596346,0.0,"open, low-rise, green",0.5860343831317542,0.3536404341732199,False,0.0,"open, low-rise, mixed-green",0.7111336124993102,0.834855096476574,False,2.0,"open, low-rise, green",0.5670453236263273,0.524909063880903,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.012039208669045,7.292572119497471,0.0316986967171473,0.0110370814837067,0.2763442799192313,0.0,False,0.0,0.0,2.0,False,True,provisional
