job_id,cluster,grid_id,cluster_share,config_file,config_sha256,expected_epw1_sha256,expected_epw3_sha256
C0,0,12618,0.1328235627301048,configs/k7_cluster_00_grid_12618.json,110e444e6c091b562f9cc784f88141ad19506f7633b4a842b88299be822ae50b,7baa8a592bf4fdc68d9edb9344c2ad0e2d4595b19e0992be889316b95097172d,88afd08cf19e771fb707b255d18a85989896436a26ecaad73ffde10e262a84b4
C1,1,3788,0.169734730482394,configs/k7_cluster_01_grid_3788.json,cb4a8b1e56328e479d5ab62a420d37c8bd7da50dcb27efcd0a4d15bb9edffac9,67d38b2bed8364f32f986f4e49a5b0dc0e787ce1f30f9399bca86bd839d63977,e8ebda18d26edeb05dd2be872bbc2b346ab692c0443abdfe9ad3115096ba8063
C2,2,10026,0.0921363164353818,configs/k7_cluster_02_grid_10026.json,bc21b30d47d481f92fcd60d6e0b0c204253acc0dcda046828e0cbd739b93f526,c7777baed5ce39942f8033b0cc08509cc7706e6e8013b21c0fa3b3d75691ea34,956da4855607e753ad3e298f630516791c24ffe6ef2a7a6e714fad0050e6bb1d
C3,3,10925,0.1852166525063721,configs/k7_cluster_03_grid_10925.json,e3a3958138ff4ef338b1105cc0132c2186b6e58c2c66a775fec771e926f9c747,f54fe4a57e6b9aece90e54fcad12035a3d6b26ce8c937207e8bd5a09f80e8b88,f022038cb2b021d539544e369e1a6ee80c04cf1ee146d21bd61202a5dd6c0a1f
C4,4,5210,0.1414141414141414,configs/k7_cluster_04_grid_5210.json,0d78cce37f9612cdc7e74f741312cab4a75ff7df75ac8d86d1dbfe4a30c5ba88,c99ec54b92b26fb9394e1b77e38072d61e08a401d2c8085d9cdb0676b11c6716,e6e6a62afcfc739815d85f614b2e9adc6620fc6732b74b14908b12a414604c10
C5,5,4849,0.2418578306428773,configs/k7_cluster_05_grid_4849.json,2b8aac023c6e03fc0a0a138f6808aec196aec52d304199f6b3db0ad49c60c7c0,a199968782f5db147db0b50dfd2328cbe56577a90a9b931c198fa9e81d7dd4d9,5524088ec93a5fc5b9f553515b7eef52ef4d745c8489ffd14b787077a10e5ad1
C6,6,1524,0.0368167657887284,configs/k7_cluster_06_grid_1524.json,71c184f8a68e143a110f2b2dcd40978a73cb3ae1c1ef4b96ba944395ec26ca34,73a25421d9a20e2d878f7aa66793f2b6e51da19f125a740b54b7ede089a74e70,eff7b437b05504c9e781331feb69ba3b497b3949c66e70d9063ce53fc0665aba
